episode,train_makespan,train_reward,actor_loss,critic_loss,entropy_loss,eval_makespan,eval_reward,jains_index,task_load_variance,current_lr,exploration_epsilon,total_random_actions,exploration_phase
118,181.96973732105764,-185.2821462663844,0.09575140103697777,3615.4642333984375,2.6108832955360413,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,713,early
119,166.60275046405923,-165.4245296094063,0.10308901220560074,2435.333984375,2.7081987857818604,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,720,early
120,170.22147469285605,-168.15218896666232,0.022277070442214608,3668.1597290039062,2.6038565635681152,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,729,early
121,177.72735275731154,-178.64417448595225,0.09612871147692204,3205.536376953125,2.6240888237953186,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,734,early
122,176.46137662273844,-179.10515103546908,-0.01595502207055688,2420.3154907226562,2.777908146381378,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,737,early
123,167.90466659560363,-164.84469867265423,0.012908288510516286,3429.485107421875,2.571140229701996,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,744,early
124,164.3802331413109,-161.84644735379325,0.0884941378608346,2075.2841796875,2.7657577991485596,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,749,early
125,169.14224940555306,-168.7832680885517,0.049983457662165165,2685.9970703125,2.716891288757324,160.19070841165518,-156.99859113818616,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,759,early
126,152.141046388287,-146.27090523706147,0.04331958759576082,2135.669921875,2.5256667137145996,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,763,early
127,163.87641508918048,-162.7667898799678,0.0645904103294015,2631.01953125,2.644796848297119,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,774,early
128,189.4181772327249,-194.9416008260196,0.05118888011202216,4243.994140625,2.609345495700836,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,783,early
129,178.9851392886042,-180.12791361400937,0.06495338678359985,2918.3455200195312,2.7445768117904663,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,788,early
130,183.4513344684241,-187.55170059158658,-0.017580677464138716,3692.4412841796875,2.5532771348953247,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,792,early
131,180.15891047026633,-182.68891875235354,0.0332118037622422,3350.71484375,2.550766944885254,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,798,early
132,170.31999035694102,-169.06844190036995,0.09035614505410194,3023.3707275390625,2.653882682323456,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,803,early
133,183.12402232723701,-185.59003504943033,0.13868633098900318,3591.16015625,2.517706871032715,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,809,early
134,160.81235125614512,-157.75606168470986,0.08283072151243687,2244.0543212890625,2.624718964099884,,,0.993103448275862,0.15999999999999998,0.00023152500000000003,0.24,815,early
135,151.3301824687418,-142.90392554639897,0.006601648172363639,2018.7548522949219,2.690065860748291,,,0.976271186440678,0.5599999999999999,0.00023152500000000003,0.24,817,early
